donation_id,user_id,donation_date,donation_amount
1,2,1/6/22,257.41
2,8,,55.26
3,9,,74.25
4,11,11/17/22,103.83
5,17,10/5/23,177.27
6,19,6/12/23,108.29
7,20,1/8/24,73.64
8,21,7/21/23,50.71
9,21,4/18/23,23.27
10,21,,401.52
11,22,8/1/23,164.19
12,25,5/18/23,1214.27
13,25,,251.44
14,26,5/8/23,153.66
15,29,11/9/22,28.69
16,30,10/10/23,25.33
17,31,1/7/24,27.38
18,41,9/30/22,163.07
19,42,4/18/22,173.89
20,44,10/17/22,470.82
21,46,4/23/22,24.43
22,47,,85.32
23,51,2/14/22,261.14
24,51,,154.71
25,52,11/23/23,180.75
26,54,10/13/22,162.65
27,55,3/7/22,487.44
28,56,7/25/22,50.24
29,56,10/26/23,543.08
30,56,,1069.24
31,58,,1032.55
32,60,,261.61
33,60,,275.08
34,60,,500.94
35,60,,186.88
36,61,,106.04
37,61,3/15/24,159.88
38,63,7/7/22,181.76
39,63,6/2/22,84.39
40,65,1/15/24,1012.53
41,67,3/4/24,201.13
42,67,1/10/24,60.35
43,67,,190.19
44,67,,50.07
45,68,9/10/23,23.32
46,74,4/27/24,422.99
47,75,6/12/22,225.91
48,76,,744.35
49,77,4/17/23,171.01
50,78,,998.03
51,80,12/5/23,82.69
52,80,6/26/23,180.01
53,84,3/8/23,45.67
54,84,,26.09
55,85,11/9/22,1131.58
56,85,7/3/23,1010.02
57,89,6/12/23,230.66
58,92,11/7/23,519.78
59,97,,164.25
60,99,5/22/22,43.29
61,99,,91.5
62,101,12/21/23,41.09
63,109,,259.86
64,111,9/23/22,855.59
65,111,10/18/22,79.83
66,111,6/16/22,26.32
67,112,,84.97
68,114,10/16/22,90.7
69,115,9/22/22,27.97
70,117,11/3/22,280.34
71,119,,119.32
72,119,4/20/23,304.63
73,120,8/6/23,197.79
74,120,,48.34
75,122,6/10/22,83.12
76,122,5/13/22,247
77,123,2/25/24,510.39
78,123,2/20/23,247.67
79,126,4/4/23,93.66
80,129,10/2/23,255.49
81,129,,187.61
82,130,,111.01
83,131,,1126.17
84,131,,578.94
85,133,7/2/24,227.02
86,135,,82.55
87,139,11/25/23,1047.25
88,142,,1043.99
89,142,1/31/24,22.96
90,143,,82.8
91,143,,173.16
92,144,7/17/24,93.53
93,146,8/11/22,88.2
94,149,5/19/24,566.36
95,150,6/16/22,73.53
96,155,10/1/23,204.12
97,156,10/23/22,25.72
98,157,,992.38
99,159,11/6/22,93.59
100,159,12/8/22,144.09
101,159,,821.94
102,160,1/19/24,959.77
103,160,12/27/22,1033.23
104,160,9/8/22,49.81
105,161,4/30/24,109.25
106,171,10/29/22,65.36
107,172,8/11/23,1180.16
108,172,4/19/23,27.89
109,173,7/18/23,24.08
110,173,,799.57
111,176,9/20/23,229.6
112,178,,71.7
113,181,9/19/23,161.12
114,183,6/7/23,75.37
115,185,,483.58
116,185,12/27/22,147.96
117,185,,134.06
