event_occurrence_id,event_template_id,event_name,event_date_time_start,event_date_time_end,event_location,event_capacity,event_registration_deadline
1,1,Mentor Office Hours,10/6/24 10:00,10/6/24 12:00,Ella Rises HQ,100,9/29/24 10:00
2,2,Robotics Lab Saturday,4/2/22 10:00,4/2/22 12:00,Ella Rises HQ,100,3/26/22 10:00
3,1,Mentor Office Hours,10/27/24 10:00,10/27/24 12:00,Virtual Zoom,100,10/20/24 10:00
4,1,Mentor Office Hours,9/11/22 10:00,9/11/22 12:00,Art Studio 2,100,9/4/22 10:00
5,1,Mentor Office Hours,8/27/23 10:00,8/27/23 12:00,Ella Rises HQ,100,8/20/23 10:00
6,3,Girls in STEAM Mentoring,11/5/24 10:00,11/5/24 12:00,Community Center Room A,100,10/29/24 10:00
7,1,Mentor Office Hours,1/2/22 10:00,1/2/22 12:00,Community Center Room A,100,12/26/21 10:00
8,1,Mentor Office Hours,10/5/25 10:00,10/5/25 12:00,Local Library,100,9/28/25 10:00
9,2,Robotics Lab Saturday,11/18/23 10:00,11/18/23 12:00,Community Center Room A,100,11/11/23 10:00
10,1,Mentor Office Hours,6/23/24 10:00,6/23/24 12:00,Ella Rises HQ,100,6/16/24 10:00
11,3,Girls in STEAM Mentoring,4/4/23 10:00,4/4/23 12:00,Community Center Room A,100,3/28/23 10:00
12,4,Monthly Coding Club,6/15/24 10:00,6/15/24 12:00,Virtual Zoom,100,6/8/24 10:00
13,5,Intro to Painting Class,9/18/25 10:00,9/18/25 12:00,Local Library,100,9/11/25 10:00
14,2,Robotics Lab Saturday,2/3/24 10:00,2/3/24 12:00,Local Library,100,1/27/24 10:00
15,1,Mentor Office Hours,6/16/24 10:00,6/16/24 12:00,Art Studio 2,100,6/9/24 10:00
16,5,Intro to Painting Class,9/5/24 10:00,9/5/24 12:00,Community Center Room A,100,8/29/24 10:00
17,1,Mentor Office Hours,8/24/25 10:00,8/24/25 12:00,Local Library,100,8/17/25 10:00
18,6,Data Science Study Group,11/10/21 10:00,11/10/21 12:00,Community Center Room A,100,11/3/21 10:00
